,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,latitude,longitude,Zona,fl_intermodalidade,fl_lte_5_km_estacao,fl_lte_5_km_pontos_turisticos,entire_home_apt_private_room_roteiro_turistico,acomodacao_alta_experiencia
21203,Entire home/apt,4,1,1,2,1343.0,9,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
21204,Entire home/apt,3,1,2,3,438.0,30,4.97,-22.9515096,-43.1862969,Zona Sul,1,1,1,1,1
21205,Entire home/apt,3,1,1,2,914.0,21,4.95,-22.9834608,-43.2249656,Zona Sul,0,1,1,1,1
21206,Entire home/apt,2,1,1,2,850.0,1,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
21207,Entire home/apt,8,2,3,5,1839.0,29,4.72,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
21208,Entire home/apt,3,1,1,1,1252.0,1,4.812309491059147,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
21209,Private room,3,1,1,3,500.0,7,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
21210,Entire home/apt,4,1,1,3,293.0,4,4.75,-22.2800004,-42.5325303,Centro,0,0,0,0,1
21211,Entire home/apt,4,2,1,3,671.0,36,4.92,-22.9834608,-43.2249656,Zona Sul,0,1,1,1,1
21212,Private room,2,1,1,1,399.0,6,3.67,-22.971974,-43.1842997,Zona Sul,1,1,1,1,0
21213,Entire home/apt,6,2,3,4,914.0,1,4.812309491059147,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
21214,Private room,2,1,1,1,246.0,2,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
21215,Entire home/apt,8,2,3,5,1879.0,16,3.69,-22.971974,-43.1842997,Zona Sul,1,1,1,1,0
21216,Entire home/apt,3,1,0,1,359.0,17,4.76,-22.9515096,-43.1862969,Zona Sul,1,1,1,1,1
21217,Entire home/apt,4,1,1,2,650.0,10,4.9,-23.0185151,-43.4634021,Zona Oeste,0,0,0,0,1
21218,Entire home/apt,2,1,1,0,950.0,25,4.84,-22.9834608,-43.2249656,Zona Sul,0,1,1,1,1
21219,Entire home/apt,7,2,3,4,586.0,3,5.0,-23.0360036,-43.5521395,Zona Oeste,0,0,0,0,1
21220,Entire home/apt,3,1,1,1,144.0,12,5.0,-22.2800004,-42.5325303,Centro,0,0,0,0,1
21221,Private room,2,1,1,1,600.0,1,4.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
21222,Entire home/apt,2,1,1,1,671.0,5,5.0,-22.9343173,-43.1878165,Zona Sul,1,1,1,1,1
21223,Entire home/apt,2,1,1,1,1214.0,5,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
21224,Entire home/apt,4,1,1,3,1459.0,7,4.71,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
21225,Entire home/apt,4,1,1,2,557.0,20,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
21226,Entire home/apt,2,1,1,0,1200.0,1,4.812309491059147,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
21227,Entire home/apt,7,1,3,4,1250.0,2,5.0,-22.9215542,-43.1860269,Centro,1,1,1,1,1
21228,Entire home/apt,4,1,1,1,1382.0,14,4.71,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
21229,Entire home/apt,3,1,1,1,1950.0,8,4.5,-23.0185151,-43.4634021,Zona Oeste,0,0,0,0,1
21230,Entire home/apt,3,1,1,2,637.0,17,4.82,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
21231,Private room,4,3,1,4,60.0,1,4.812309491059147,-22.8128362,-43.2007792,Zona Norte,0,0,0,0,1
21232,Private room,2,1,1,1,470.0,37,4.76,-22.961704,-43.1669042,Zona Sul,1,1,1,1,1
21233,Entire home/apt,3,1,1,1,329.0,1,4.812309491059147,-22.9215542,-43.1860269,Centro,1,1,1,1,1
21234,Entire home/apt,6,1,1,4,1373.0,55,4.91,-22.9997404,-43.3659929,Zona Oeste,0,0,0,0,1
21235,Private room,1,1,1,1,105.0,2,5.0,-22.9247351,-43.2327165,Zona Norte,1,1,1,1,1
21236,Entire home/apt,3,1,1,2,868.0,10,4.9,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
21237,Entire home/apt,3,1,1,2,1030.0,62,4.87,-22.9997404,-43.3659929,Zona Oeste,0,0,0,0,1
21238,Entire home/apt,3,1,1,2,1650.0,1,4.812309491059147,-22.9997404,-43.3659929,Zona Oeste,0,0,0,0,1
21239,Private room,3,1,1,1,646.0,7,5.0,-22.961704,-43.1669042,Zona Sul,1,1,1,1,1
21240,Private room,3,1,1,1,700.0,3,5.0,-22.9834608,-43.2249656,Zona Sul,0,1,1,1,1
21241,Entire home/apt,6,3,3,3,1000.0,1,4.812309491059147,-23.0185151,-43.4634021,Zona Oeste,0,0,0,0,1
21242,Entire home/apt,2,1,1,1,710.0,14,4.64,-22.9515096,-43.1862969,Zona Sul,1,1,1,1,1
